video_link,video_id,video_name,channel_name,channel_country,published_at,subscribers,views,comments,likes
https://www.youtube.com/watch?v=Xa665wL7Tcg ,Xa665wL7Tcg,"Climate Models Say One Thing, Real Temperatures Say Another",The Heartland Institute,US,2025-02-24T23:01:02Z,78600,20675,424,3085
https://www.youtube.com/watch?v=sAbkFYcxEic ,sAbkFYcxEic,Judith Curry: Climate Scientists Can’t Intimidate Me | Stories of Us,PragerU,US,2024-04-30T18:00:08Z,3450000,696478,579,6178
https://www.youtube.com/watch?v=uVHB13Fhv90 ,uVHB13Fhv90,LA Wildfire History and the Idea that Climate Change Caused Fires,JRE Clips,US,2025-01-23T18:00:49Z,8320000,647896,2062,12579
https://www.youtube.com/watch?v=DYWrehjaMFQ ,DYWrehjaMFQ,Dr Richard Lindzen exposes climate change as a politicised power play motivated by malice and profit,BizNewsTv,ZA,2023-04-20T18:25:06Z,280000,350516,4627,15312
https://www.youtube.com/watch?v=mcCmVYyXaAs ,mcCmVYyXaAs,The Top 10 Inconvenient Facts About Climate Change,CDN,CA,2024-07-29T23:03:56Z,125000,136661,2186,14296
https://www.youtube.com/watch?v=6dT90X3aSYE ,6dT90X3aSYE,Charlie Kirk VS. Environmentalist NUT *full video*,Turning Point USA,US,2023-04-13T22:00:03Z,4870000,2119873,6471,40135
https://www.youtube.com/watch?v=ckb9GkNtMNU ,ckb9GkNtMNU,Will Climate Change End Humanity?,Chris Williamson,GB,2023-05-08T19:00:12Z,3970000,28147,177,1256
https://www.youtube.com/watch?v=WgGfIqsVhMA ,WgGfIqsVhMA,Why Are People Lying About Climate Change? | Konstantin Kisin,Chris Williamson,GB,2023-10-20T15:00:33Z,3970000,61533,441,2117
https://www.youtube.com/watch?v=cGZ7Ktr6Juc ,cGZ7Ktr6Juc,Climate Alarmists Are Getting This All Wrong - Dr Bjorn Lomborg,Chris Williamson,GB,2023-04-20T15:00:24Z,3970000,238609,1816,7612
https://www.youtube.com/watch?v=8dj-2to3NJk ,8dj-2to3NJk,The Greatest Climate Myths and Misperceptions Explained | The Way I Heard It with Mike Rowe,Mike Rowe,US,2025-01-30T23:30:02Z,1250000,711785,2509,18258
https://www.youtube.com/watch?v=2W3pxOYrxVw ,2W3pxOYrxVw,"Renewable Energy, Fossil Fuels, and the Climate Debate | Alex Epstein | EP 514",Jordan B Peterson,US,2025-01-13T22:00:01Z,8830000,150960,755,4689
https://www.youtube.com/watch?v=C-gdabZooKo ,C-gdabZooKo,Matt Ridley is Lying to You About Climate Change,Professor Dave Explains,US,2025-09-04T14:00:14Z,4080000,291960,3151,11750
https://www.youtube.com/watch?v=ECYMHIbBYyI ,ECYMHIbBYyI,We Just Crossed Our FIRST Tipping Point… And It’s NOT What You Think,PBS Terra,US,2025-10-23T18:00:19Z,830000,669044,3864,28457
https://www.youtube.com/watch?v=F8vI5_gN90g ,F8vI5_gN90g,Inside the planet’s most urgent climate warning | Global Warning E1 | Featured Documentary,Al Jazeera English,QA,2025-10-11T13:30:23Z,16900000,463835,1338,5629
https://www.youtube.com/watch?v=Mqzs5VSjObE ,Mqzs5VSjObE,The Link Between Milankovitch Cycles & Climate Change,StarTalk,US,2025-08-07T21:30:02Z,5200000,741406,2545,21597
https://www.youtube.com/watch?v=h1jOqyjcO4g ,h1jOqyjcO4g,How much progress have we made on climate change?,Simon Clark,GB,2025-02-28T21:41:13Z,693000,2375237,7165,144069
https://www.youtube.com/watch?v=iy4ViebIoC4 ,iy4ViebIoC4,"Bill Gates CHANGES TUNE on ""Climate Change""... But What's His REAL Angle Here?",BlazeTV,US,2025-11-01T11:01:27Z,2180000,33021,559,2678
https://www.youtube.com/watch?v=Ztx0Bch3h9s ,Ztx0Bch3h9s,Why Climate Action Is Unstoppable — and “Climate Realism” Is a Myth  | Al Gore | TED,TED,US,2025-07-04T15:01:14Z,26900000,523184,2778,19693
https://www.youtube.com/watch?v=55yvGkMTKSg ,55yvGkMTKSg,We’re not doomed by climate change. We’re just confused. | The Gray Area,Vox,US,2025-10-27T12:00:09Z,12700000,34133,236,637
https://www.youtube.com/watch?v=Y1mPWVzaGQY ,Y1mPWVzaGQY,What is Climate Change?: Crash Course Biology #8,CrashCourse,US,2023-08-15T15:00:19Z,16800000,206856,125,3838
https://www.youtube.com/watch?v=DOWTDDy6wlg ,DOWTDDy6wlg,The Green New Steal: The Business of Climate Change,FORGOTTEN HISTORY,US,2025-10-18T17:00:15Z,992000,156413,2340,11782
https://www.youtube.com/watch?v=AqYWW9Fs614 ,AqYWW9Fs614,I'm done* with Climate Change,Julie Nolke,CA,2025-05-29T13:17:43Z,1080000,176862,1666,10415
https://www.youtube.com/watch?v=tRA2SfSk2Tc ,tRA2SfSk2Tc,How I Think About Climate Change,StarTalk,US,2025-02-06T21:17:21Z,5200000,2168584,12426,75875
https://www.youtube.com/watch?v=UkhaC6Pc0ZM ,UkhaC6Pc0ZM,The Environmental Effects of Climate Change On Our Planet | Breakthrough,Curiosity Stream,US,2024-06-29T14:00:22Z,516000,112413,469,1521
https://www.youtube.com/watch?v=MHZMQLDr-OA ,MHZMQLDr-OA,A Controversial Play — and What It Taught Me About the Psychology of Climate | David Finnigan | TED,TED,US,2024-09-09T11:00:18Z,26900000,742938,3544,21033
https://www.youtube.com/watch?v=15-QlH_VDaM ,15-QlH_VDaM,AI Solved Climate Change And Not The Way You Think - Dumpster Fire,Bridget Phetasy,US,2025-11-05T02:00:06Z,105000,33730,339,2522
https://www.youtube.com/watch?v=57x_SWsv6QU ,57x_SWsv6QU,Will We Survive Climate Change? – A Question of Science with Brian Cox,The Francis Crick Institute,GB,2025-10-15T05:00:08Z,13800,76982,1627,2755
https://www.youtube.com/watch?v=OeqpTBazpck ,OeqpTBazpck,The Climate COOLING Gas That Nobody's Talking About,Planet Zero - Climate Change,US,2025-10-30T15:00:54Z,2200,53688,480,2541
